collectedAt,content.data.employeeCount,content.entityName,recordType,schemaVersion,source.name,source.url
2026-08-12T11:58:35.196402+00:00,115,Memora Health,STARTUP,1.0,Y Combinator,https://memorahealth.com
2026-08-12T11:58:35.196411+00:00,35,Zyper,STARTUP,1.0,Y Combinator,https://zyper.com/
2026-08-12T11:58:35.196420+00:00,8,AlgoSurg Inc,STARTUP,1.0,Y Combinator,http://www.algosurg.com
2026-08-12T11:58:35.196474+00:00,2,Voicery,STARTUP,1.0,Y Combinator,http://www.voicery.com
2026-08-12T11:58:35.196514+00:00,5,Point API,STARTUP,1.0,Y Combinator,https://pointapi.com
2026-08-12T11:58:35.196523+00:00,6,Jido Maps,STARTUP,1.0,Y Combinator,https://jidomaps.com/
2026-08-12T11:58:35.196536+00:00,240,Observe.AI,STARTUP,1.0,Y Combinator,https://observe.ai
2026-08-12T11:58:35.196598+00:00,600,Helloverify,STARTUP,1.0,Y Combinator,https://www.helloverify.ae
2026-08-12T11:58:35.196655+00:00,30,Swayable,STARTUP,1.0,Y Combinator,http://swayable.com
2026-08-12T11:58:35.196708+00:00,12,Phiar,STARTUP,1.0,Y Combinator,https://www.phiar.net
2026-08-12T11:58:35.196718+00:00,10,OWNY,STARTUP,1.0,Y Combinator,https://www.owny.com
2026-08-12T11:58:35.196738+00:00,128,Within,STARTUP,1.0,Y Combinator,http://within.ai
2026-08-12T11:58:35.196774+00:00,3,"numericcal, inc.",STARTUP,1.0,Y Combinator,http://numericcal.com/
2026-08-12T11:58:35.196782+00:00,20,Searchlight,STARTUP,1.0,Y Combinator,https://www.searchlight.ai/
2026-08-12T11:58:35.196846+00:00,15,Activeloop,STARTUP,1.0,Y Combinator,https://activeloop.ai/
2026-08-12T11:58:35.196869+00:00,40,Titan,STARTUP,1.0,Y Combinator,http://www.titan.com
2026-08-12T11:58:35.196880+00:00,10,Data Driven Bioscience,STARTUP,1.0,Y Combinator,http://datadrivenbioscience.com
2026-08-12T11:58:35.196894+00:00,35,Inscribe,STARTUP,1.0,Y Combinator,https://www.inscribe.ai/
2026-08-12T11:58:35.196902+00:00,18,JITX,STARTUP,1.0,Y Combinator,http://www.jitx.com
2026-08-12T11:58:35.197028+00:00,25,64x Bio,STARTUP,1.0,Y Combinator,http://www.64xbio.com
2026-08-12T11:58:35.197044+00:00,20,Anima App,STARTUP,1.0,Y Combinator,https://www.animaapp.com
2026-08-12T11:58:35.197069+00:00,6,LabelFlow,STARTUP,1.0,Y Combinator,https://labelflow.ai/
2026-08-12T11:58:35.197162+00:00,60,Regology,STARTUP,1.0,Y Combinator,http://regology.com
2026-08-12T11:58:35.197170+00:00,7,Quickchat AI,STARTUP,1.0,Y Combinator,https://quickchat.ai/
2026-08-12T11:58:35.197212+00:00,12,Rain Neuromorphics,STARTUP,1.0,Y Combinator,http://www.rain-neuromorphics.com
2026-08-12T11:58:35.197272+00:00,8,Alpha Vantage,STARTUP,1.0,Y Combinator,https://www.alphavantage.co/
2026-08-12T11:58:35.197304+00:00,7,MentalHappy,STARTUP,1.0,Y Combinator,http://www.MentalHappy.com
2026-08-12T11:58:35.197349+00:00,65,Prodigal,STARTUP,1.0,Y Combinator,https://prodigaltech.com/
